datetime,epoch,ghost_index,ghost_type,dist_ghost_pips,atr,body_atr,upper_wick_atr,lower_wick_atr,rsi,close_ret1_atr,close_ret5_atr,close_ret15_atr,vol,vol_ema9,vol_ratio,dist_sh5_above,dist_sl5_below,n_sh5_near,n_sl5_near,dist_sh10_above,dist_sl10_below,dist_bsl_above,dist_ssl_below,dist_bos_above,dist_bos_below,dist_fvg_above,dist_fvg_below,dist_ob_above,dist_ob_below,dist_fib_pips,zz_high_dist_pips,zz_low_dist_pips,traces_3m,traces_5m,traces_10m,traces_15m
2026-07-14T01:39:00-05:00,1784011140,12221,0.0000,148.0000,10.2674,0.0243,0.1948,0.2191,46.09,0.0974,-1.4366,-0.1948,39.00,95.24,0.4095,3,4,78.00,79.00,66.00,79.00,5.00,0.00,7.00,1.00,0.50,0.50,8.00,0.00,497,294,1245,0,0,2,4
2026-07-14T05:31:00-05:00,1784025060,12479,0.0000,-52.0000,8.2804,1.5700,1.7209,0.3623,36.08,-1.4190,-0.9058,-2.5663,274.00,78.12,3.5072,1,1,154.00,999.00,112.00,20.00,2.00,2.00,10.00,6.00,12.00,0.50,4.00,1.00,24,272,1113,3,4,4,4
2026-07-14T09:36:00-05:00,1784039760,12705,1.0000,-119.0000,42.6274,0.0000,0.4985,0.2932,66.06,-0.0235,2.2579,2.5746,1497.00,1866.07,0.8022,6,5,77.00,259.00,104.00,99.00,1.00,0.00,10.00,5.00,3.00,9.50,3.00,8.50,597,516,895,0,0,0,0
2026-07-14T10:50:00-05:00,1784044200,12769,0.0000,629.0000,19.9443,0.6017,0.3510,0.1880,40.32,-0.5515,-1.1031,-1.3036,712.00,635.04,1.1212,4,4,141.00,71.00,61.00,251.00,1.00,1.00,3.00,1.00,4.00,5.50,2.00,8.00,106,420,1047,0,0,0,0
2026-07-14T12:35:00-05:00,1784050500,12910,1.0000,-84.0000,12.0089,0.0833,0.0625,0.9368,42.79,-0.1249,-2.3732,-0.8952,499.00,408.14,1.2226,3,3,84.00,62.00,39.00,19.00,4.00,0.00,5.00,0.00,11.00,3.50,9.00,6.50,63,367,1050,0,2,7,10
2026-07-14T13:35:00-05:00,1784054100,12934,0.0000,189.0000,9.4742,0.3430,0.3694,0.0528,55.05,0.3694,1.7943,-0.0264,357.00,312.49,1.1424,4,5,16.00,74.00,4.00,94.00,3.00,0.00,4.00,0.00,6.00,0.50,1.00,3.50,161,119,1194,0,0,5,8
2026-07-14T21:04:00-05:00,1784081040,13358,1.0000,64.0000,10.7741,0.7193,0.0000,0.0000,66.32,0.7193,0.2552,3.8518,38.00,86.83,0.4376,3,1,999.00,196.00,999.00,274.00,2.00,2.00,4.00,7.00,1.00,1.50,2.00,4.50,385,257,858,3,5,10,15
2026-07-14T21:47:00-05:00,1784083620,13398,1.0000,-15.0000,6.9590,0.7185,0.4311,0.1796,52.60,-0.8263,-0.5748,0.3592,88.00,53.68,1.6394,4,2,12.00,78.00,15.00,78.00,4.00,1.00,6.00,16.00,0.50,0.00,11.50,13.00,457,329,930,2,2,2,2
2026-07-15T01:50:00-05:00,1784098200,13641,0.0000,7.0000,7.0182,0.0356,0.0356,0.8905,50.29,0.3562,0.2137,-0.8193,39.00,48.77,0.7996,3,4,7.00,7.00,1.00,60.00,1.00,0.00,17.00,0.00,5.00,7.50,17.00,24.00,644,516,1117,2,2,5,8
2026-07-15T07:03:00-05:00,1784116980,13950,0.0000,-30.0000,8.4013,0.2976,0.5951,0.0298,36.90,-0.3571,-2.4401,-1.0117,43.00,72.60,0.5923,4,4,86.00,999.00,69.00,72.00,1.00,0.00,2.00,0.00,0.50,0.50,7.00,0.50,51,634,128,3,5,10,15
